,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,basement_exist,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15
3,2487200875,2014-12-09,604000.0,4,3.0,1960,5000,1.0,5,7,1050,1.0,1965,98136,47.5208,-122.39299999999999,1360,5000
4,1954400510,2015-02-18,510000.0,3,2.0,1680,8080,1.0,3,8,1680,0.0,1987,98074,47.6168,-122.045,1800,7503
8,2414600126,2015-04-15,229500.0,3,1.0,1780,7470,1.0,3,7,1050,1.0,1960,98146,47.5123,-122.337,1780,8113
9,3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,3,7,1890,0.0,2003,98038,47.3684,-122.031,2390,7570
11,9212900260,2014-05-27,468000.0,2,1.0,1160,6000,1.0,4,7,860,1.0,1942,98115,47.69,-122.292,1330,6000
13,6054650070,2014-10-07,400000.0,3,1.75,1370,9680,1.0,4,7,1370,0.0,1977,98074,47.6127,-122.045,1370,10208
14,1175000570,2015-03-12,530000.0,5,2.0,1810,4850,1.5,3,7,1810,0.0,1900,98107,47.67,-122.39399999999999,1360,4850
16,1875500060,2014-07-31,395000.0,3,2.0,1890,14040,2.0,3,7,1890,0.0,1994,98019,47.7277,-121.962,1890,14018
17,6865200140,2014-05-29,485000.0,4,1.0,1600,4300,1.5,4,7,1600,0.0,1916,98103,47.6648,-122.34299999999999,1610,4300
19,7983200060,2015-04-24,230000.0,3,1.0,1250,9774,1.0,4,7,1250,0.0,1969,98003,47.3343,-122.306,1280,8850
20,6300500875,2014-05-14,385000.0,4,1.75,1620,4980,1.0,4,7,860,1.0,1947,98133,47.7025,-122.34100000000001,1400,4980
22,7137970340,2014-07-03,285000.0,5,2.5,2270,6300,2.0,3,8,2270,0.0,1995,98092,47.3266,-122.169,2240,7005
24,3814700200,2014-11-20,329000.0,3,2.25,2450,6500,2.0,4,8,2450,0.0,1985,98030,47.3739,-122.17200000000001,2200,6865
25,1202000200,2014-11-03,233000.0,3,2.0,1710,4697,1.5,5,6,1710,0.0,1941,98002,47.3048,-122.21799999999999,1030,4705
27,3303700376,2014-12-01,667000.0,3,1.0,1400,1581,1.5,5,8,1400,0.0,1909,98112,47.6221,-122.314,1860,3861
29,1873100390,2015-03-02,719000.0,4,2.5,2570,7173,2.0,3,8,2570,0.0,2005,98052,47.7073,-122.11,2630,6026
